NEGATED	ALTERNATIVE	RELATION	MEANRATING	SPLIT
goat	beard	free_association	1.3	train
alligator	teeth	free_association	1.5	test
chair	office	hypernym	1.6	train
yacht	job	unrelated	1.45	train
goose	ducks	distributional	4.1	test
toaster	protagonist	hypernym	1.25	train
goat	actions	unrelated	1.05	train
corn	ruler	visual	1.45	test
falcon	club	unrelated	1.2	train
bus	vehicle	hypernym	4.0	train
shirt	cars	unrelated	1.4	test
chair	studio	unrelated	1.6	train
truck	cage	visual	1.6	dev
goose	meetings	unrelated	1.2	test
deer	community	unrelated	1.35	train
yacht	dinghy	distributional	4.25	train
jacket	vest	functional	4.25	train
garlic	hamster	visual	1.45	train
truck	voyage	functional	1.55	dev
broccoli	firm	unrelated	1.1	train
bag	sack	hyponym	4.65	test
swan	seabird	cohyponym	4.6	train
cat	dude	cohyponym	1.65	test
ferry	gleam	functional	1.1	train
dress	sportswear	hyponym	3.3	dev
bus	loop	cohyponym	1.35	train
jacket	programmes	unrelated	1.35	train
dagger	team	unrelated	1.15	test
freezer	tests	unrelated	1.15	train
wasp	dragonfly	distributional	4.15	test
bag	saddlebag	hyponym	4.35	test
cypress	card	unrelated	1.4	test
ferry	sulphur	functional	1.35	train
toaster	admirer	hypernym	1.4	train
lizard	edition	unrelated	1.25	test
trumpet	camel	visual	1.15	test
coat	pieces	unrelated	1.2	train
flute	wind	free_association	2.0	test
flute	crime	unrelated	1.35	test
swan	heron	distributional	4.4	train
cranberry	raspberry	distributional	4.4	test
goldfish	window	unrelated	1.25	test
oven	member	unrelated	1.4	train
truck	ambulance	visual	4.35	dev
hawk	owl	cohyponym	4.6	dev
garlic	deal	unrelated	1.0	train
goat	mark	cohyponym	1.3	train
flute	majority	unrelated	1.35	test
scooter	orders	unrelated	1.25	test
bus	city	free_association	1.5	train
shirt	development	unrelated	1.2	test
crow	bird	hypernym	4.35	dev
giraffe	spirit	unrelated	1.45	train
hornet	candle	visual	1.35	train
potato	gravy	free_association	1.95	test
goldfish	means	unrelated	1.0	test
beaver	whiskers	hypernym	1.6	train
crow	points	unrelated	1.3	dev
coat	measures	unrelated	1.05	train
bottle	wine	free_association	2.0	test
chair	sofa	free_association	4.25	train
swan	lake	free_association	1.35	train
flute	change	unrelated	1.3	test
flute	stool	visual	1.5	test
coat	move	unrelated	1.4	train
alligator	bed	unrelated	1.45	test
lemon	citrus	hypernym	4.15	train
scooter	motorbike	distributional	4.5	test
cat	party	unrelated	1.4	test
crow	baa	cohyponym	1.25	dev
beaver	lid	hypernym	1.4	train
sparrow	click	unrelated	1.5	train
truck	avenue	functional	1.15	dev
cat	panther	hyponym	4.45	test
oven	trailer	visual	1.25	train
trumpet	none	unrelated	1.0	test
broccoli	leeks	distributional	4.25	train
beaver	muskrat	cohyponym	4.55	train
truck	doodlebug	cohyponym	1.75	dev
lemon	tangerine	visual	4.15	train
deer	progress	unrelated	1.35	train
bag	knapsack	hyponym	4.6	test
beaver	chipmunk	visual	4.2	train
goat	sucker	cohyponym	1.3	train
trout	yacht	visual	1.4	test
swan	water	free_association	1.5	train
wasp	mole	visual	1.9	test
freezer	rate	unrelated	1.05	train
lemon	tang	hypernym	1.55	train
oven	jar	visual	1.4	train
mug	year	unrelated	1.35	train
freezer	fridge	hypernym	4.5	train
truck	bin	visual	1.35	dev
flute	workers	unrelated	1.15	test
dress	language	unrelated	1.2	dev
cat	version	unrelated	1.2	test
television	station	free_association	1.7	test
toaster	shack	visual	1.2	train
lemon	artefact	hypernym	1.65	train
goat	dupe	hypernym	1.35	train
coat	emulsion	hyponym	1.8	train
falcon	kestrel	hyponym	4.6	train
mug	notes	unrelated	1.4	train
corn	bootleg	hyponym	1.15	test
sparrow	today	unrelated	1.05	train
hornet	users	unrelated	1.25	train
crow	fancy	functional	1.4	dev
cranberry	memory	unrelated	1.2	test
frog	teams	unrelated	1.35	dev
garlic	homes	unrelated	1.25	train
mug	straw	functional	1.75	train
radio	bit	unrelated	1.2	train
beaver	rat	visual	3.95	train
chair	stool	free_association	4.6	train
yacht	variety	unrelated	1.2	train
lemon	flavour	hypernym	1.85	train
hawk	dove	distributional	4.1	dev
coat	enamel	hyponym	1.75	train
toaster	estate	unrelated	1.15	train
cranberry	blackcurrant	distributional	4.25	test
dress	costume	hyponym	4.55	dev
garlic	contribution	unrelated	1.3	train
bus	trolleybus	hyponym	4.4	train
crow	speaker	functional	1.6	dev
shirt	sweater	free_association	4.1	test
goldfish	butterfly	visual	1.65	test
toaster	cupboard	visual	1.65	train
potato	direction	unrelated	1.05	test
alligator	alley	free_association	1.2	test
trout	tv	unrelated	1.0	test
bag	weekend	unrelated	1.45	test
dress	raiment	cohyponym	1.85	dev
shirt	employees	unrelated	1.35	test
jacket	deoderant	functional	1.25	train
bus	mesh	cohyponym	1.25	train
potato	yam	visual	4.25	test
alligator	words	unrelated	1.35	test
lemon	goods	unrelated	1.6	train
dagger	see	functional	1.15	test
bus	star	cohyponym	1.35	train
radio	mouse	visual	1.4	train
swan	summer	unrelated	1.35	train
alligator	forces	unrelated	1.25	test
toaster	board	unrelated	1.65	train
cat	bey	cohyponym	1.65	test
dress	wench	functional	1.45	dev
deer	car	free_association	1.55	train
cypress	function	unrelated	1.05	test
hawk	pm	unrelated	1.35	dev
coat	duvet	functional	1.9	train
scooter	assessment	unrelated	1.1	test
trout	catfish	functional	4.3	test
corn	oak	visual	1.65	test
goat	white	free_association	1.4	train
bag	poke	hyponym	1.4	test
cat	friends	unrelated	1.65	test
corn	quail	functional	1.65	test
scooter	entry	unrelated	1.0	test
giraffe	fork	visual	1.5	train
alligator	lake	free_association	1.45	test
goldfish	silverfish	hyponym	3.9	test
coat	varnish	hyponym	1.7	train
lizard	reptile	free_association	4.35	test
jacket	functions	unrelated	1.2	train
television	bird	functional	1.3	test
coat	cloak	functional	4.6	train
goldfish	paper	unrelated	1.45	test
wasp	shield	visual	1.35	test
crow	boast	hypernym	1.2	dev
coat	round	unrelated	1.2	train
bag	visit	unrelated	1.1	test
beaver	otter	free_association	4.55	train
swan	engine	unrelated	1.2	train
oven	relationship	unrelated	1.1	train
yacht	birds	unrelated	1.1	train
dress	beachwear	cohyponym	4.3	dev
sparrow	dove	distributional	3.9	train
alligator	line	unrelated	1.2	test
radio	pa	cohyponym	3.0	train
beaver	mink	cohyponym	4.6	train
shirt	drive	unrelated	1.0	test
dagger	asterisk	cohyponym	1.6	test
trout	salmonid	hypernym	4.3	test
jacket	greatcoat	cohyponym	4.5	train
deer	elk	hyponym	4.5	train
garlic	bagpipe	visual	1.0	train
goat	fool	cohyponym	1.4	train
truck	bulldozer	functional	3.8	dev
bag	behaviour	unrelated	1.1	test
goat	food	unrelated	1.2	train
coat	leather	distributional	1.9	train
shirt	robe	visual	3.8	test
dress	finery	hyponym	1.4	dev
cypress	animals	unrelated	1.3	test
coat	newmarket	hyponym	1.5	train
dress	ways	unrelated	1.0	dev
hawk	militarist	hypernym	1.4	dev
wasp	beetles	distributional	3.4	test
goose	sap	hypernym	1.3	test
bus	oven	visual	1.4	train
swan	partridge	distributional	3.9	train
flute	rhubarb	visual	1.0	test
lemon	truth	unrelated	1.0	train
bag	company	unrelated	1.0	test
goldfish	sale	unrelated	1.2	test
trumpet	sousaphone	cohyponym	4.5	test
chair	cllr	distributional	1.1	train
flute	chandelier	visual	1.2	test
radio	applications	unrelated	1.3	train
jacket	tie	free_association	2.1	train
trout	hotdog	functional	1.2	test
deer	woods	free_association	1.4	train
radio	companies	unrelated	1.1	train
cat	fop	cohyponym	1.3	test
scooter	press	unrelated	1.6	test
goat	distance	unrelated	1.2	train
dagger	trade	unrelated	1.4	test
flute	accordion	functional	3.5	test
beaver	principles	unrelated	1.0	train
swan	pen	hyponym	1.2	train
broccoli	carrots	distributional	4.3	train
mug	languages	unrelated	1.3	train
hornet	travel	unrelated	1.2	train
bus	cabin	visual	1.2	train
dagger	nip	functional	1.3	test
toaster	century	unrelated	1.0	train
deer	fawn	hyponym	4.7	train
swan	dive	free_association	1.3	train
mug	author	unrelated	1.2	train
goat	survey	unrelated	1.0	train
oven	dishwasher	distributional	3.5	train
giraffe	opportunities	unrelated	1.0	train
jacket	peel	hypernym	1.1	train
castle	palace	free_association	4.7	dev
yacht	answer	unrelated	1.0	train
giraffe	friend	unrelated	1.4	train
trout	raisin	functional	1.1	test
freezer	cellar	visual	2.0	train
library	operation	unrelated	1.1	test
deer	lodge	functional	1.1	train
goat	victim	hypernym	1.1	train
corn	service	unrelated	1.2	test
shirt	coat	functional	4.4	test
potato	fire	functional	1.0	test
garlic	coconut	functional	2.4	train
bottle	centre	unrelated	1.0	test
chair	behind	functional	1.3	train
scooter	countries	unrelated	1.5	test
lemon	ice	functional	1.6	train
bottle	opener	free_association	1.6	test
shirt	turn	unrelated	1.2	test
freezer	package	unrelated	1.4	train
chair	position	hypernym	1.4	train
chair	businesses	unrelated	1.1	train
lemon	apple	visual	4.3	train
chair	lap	functional	1.2	train
truck	level	unrelated	1.4	dev
trout	film	unrelated	1.4	test
swan	animal	free_association	3.5	train
giraffe	python	visual	1.6	train
oven	bus	visual	1.2	train
library	belfry	cohyponym	1.7	test
oven	record	unrelated	1.1	train
hawk	eagle	free_association	4.6	dev
swan	peacock	distributional	4.3	train
jacket	yellow	free_association	1.2	train
dagger	scalpel	functional	3.9	test
coat	hair	hypernym	1.4	train
lizard	toad	free_association	3.8	test
jacket	coat	hypernym	4.8	train
oven	stove	free_association	4.0	train
lemon	trial	unrelated	1.0	train
freezer	train	visual	1.1	train
bottle	calabash	hyponym	1.6	test
dress	parka	visual	3.6	dev
chair	buggy	visual	2.5	train
chair	sled	visual	3.3	train
coat	benefits	unrelated	1.2	train
shirt	subject	unrelated	1.0	test
cat	effort	unrelated	1.1	test
deer	reindeer	hyponym	4.5	train
truck	van	hyponym	4.8	dev
sparrow	eagle	visual	3.4	train
jacket	path	unrelated	1.1	train
goat	muzzle	visual	1.1	train
trout	articles	unrelated	1.0	test
poplar	public	unrelated	1.1	test
coat	air	unrelated	1.1	train
shirt	project	unrelated	1.1	test
radio	rediffusion	cohyponym	1.6	train
chair	chairman	distributional	1.4	train
chair	highchair	hyponym	4.4	train
potato	foil	functional	1.5	test
broccoli	tree	free_association	1.8	train
hawk	sparrow	distributional	4.7	dev
mug	cup	functional	4.7	train
hawk	osprey	hyponym	4.6	dev
hornet	sound	unrelated	1.5	train
alligator	swamp	free_association	1.5	test
yacht	anchor	visual	1.5	train
frog	stock	unrelated	1.1	dev
swan	marsh	distributional	1.1	train
alligator	element	unrelated	1.1	test
trout	hake	cohyponym	4.2	test
trout	pasta	functional	1.4	test
scooter	motorcycle	functional	4.5	test
cat	sheik	cohyponym	1.6	test
oven	steak	functional	1.3	train
beaver	seal	visual	3.2	train
oven	times	unrelated	1.1	train
mug	beer	functional	2.5	train
television	sport	functional	1.3	test
cat	gossip	hypernym	1.4	test
corn	yolk	functional	1.3	test
lizard	tax	unrelated	1.0	test
garlic	object	unrelated	1.4	train
shirt	sunscreen	functional	1.3	test
flute	rebate	cohyponym	1.1	test
toaster	minutes	unrelated	1.0	train
mug	visitors	unrelated	1.1	train
castle	croquet	functional	1.3	dev
poplar	star	unrelated	1.0	test
chair	powers	unrelated	1.3	train
shirt	t-shirt	hyponym	4.6	test
potato	cheese	free_association	2.0	test
truck	amphibian	cohyponym	1.1	dev
toaster	cheerleader	cohyponym	1.2	train
swan	white	free_association	1.7	train
cat	sod	hyponym	1.1	test
hornet	artists	unrelated	1.2	train
lemon	award	unrelated	1.6	train
dagger	cloak	free_association	1.8	test
flute	tuba	distributional	3.4	test
ferry	week	unrelated	1.2	train
jacket	permission	unrelated	1.1	train
library	bath	cohyponym	1.4	test
toaster	toast	free_association	2.0	train
bag	trailer	functional	1.3	test
goat	gallon	functional	1.0	train
yacht	money	free_association	1.3	train
trumpet	security	unrelated	1.6	test
dress	cape	visual	4.2	dev
swan	duck	free_association	4.6	train
