NEGATED	ALTERNATIVE	RELATION	MEANRATING	SPLIT
goat	beard	free_association	1.27272727273	train
chair	office	hypernym	2.75	train
yacht	job	unrelated	1.15	train
goose	ducks	distributional	4.25	test
cat	dogs	distributional	4.57142857143	test
shirt	flannel	functional	2.8	test
toaster	protagonist	hypernym	1.18181818182	train
goat	actions	unrelated	1.14285714286	train
corn	ruler	visual	1.28571428571	test
falcon	club	unrelated	1.47619047619	train
dress	shirts	distributional	4.57142857143	dev
bus	vehicle	hypernym	4.47826086957	train
shirt	cars	unrelated	1.3	test
beaver	log	free_association	2.2	train
garlic	chives	cohyponym	4.42857142857	train
ferry	dock	distributional	4.35	train
truck	cage	visual	1.6	dev
goose	meetings	unrelated	1.2	test
deer	community	unrelated	1.3	train
yacht	dinghy	distributional	4.14285714286	train
jacket	vest	functional	4.4347826087	train
garlic	hamster	visual	1.38095238095	train
truck	voyage	functional	1.5	dev
broccoli	firm	unrelated	1.15	train
bus	airplane	functional	3.90909090909	train
potato	beets	visual	4.4	test
bag	sack	hyponym	4.57142857143	test
bus	automobile	hypernym	4.71428571429	train
jacket	wrap	hypernym	4.14285714286	train
swan	seabird	cohyponym	4.47619047619	train
garlic	seasoning	hypernym	4.2380952381	train
toaster	refrigerator	distributional	3.90909090909	train
ferry	gleam	functional	1.15	train
bus	loop	cohyponym	1.54166666667	train
cranberry	apricot	distributional	4.63636363636	test
jacket	programmes	unrelated	1.35	train
dress	tent	visual	1.75	dev
dagger	team	unrelated	1.25	test
freezer	tests	unrelated	1.15	train
radio	noise	free_association	3.47619047619	train
dagger	hammer	distributional	3.73913043478	test
wasp	dragonfly	distributional	4.55	test
bag	saddlebag	hyponym	4.25	test
alligator	note	unrelated	1.14285714286	test
cypress	card	unrelated	1.3	test
corn	willow	visual	1.58333333333	test
ferry	sulphur	functional	1.22727272727	train
toaster	admirer	hypernym	1.34782608696	train
lizard	edition	unrelated	1.0	test
trumpet	camel	visual	1.2	test
coat	pieces	unrelated	1.42857142857	train
flute	harpsichord	functional	4.5	test
flute	wind	free_association	1.66666666667	test
flute	crime	unrelated	1.15	test
swan	raven	distributional	3.90909090909	train
swan	heron	distributional	4.61904761905	train
cranberry	raspberry	distributional	4.75	test
goldfish	window	unrelated	1.55	test
library	bookcase	functional	3.86363636364	test
oven	member	unrelated	1.2	train
truck	ambulance	visual	4.27272727273	dev
hawk	owl	cohyponym	4.7	dev
deer	pollard	cohyponym	1.85714285714	train
castle	cottage	functional	4.25	dev
garlic	deal	unrelated	1.1	train
goat	mark	cohyponym	1.33333333333	train
television	commercial	free_association	2.25	test
flute	majority	unrelated	1.14285714286	test
scooter	orders	unrelated	1.2	test
shirt	development	unrelated	1.25	test
library	bedroom	cohyponym	3.17391304348	test
crow	bird	hypernym	4.2	dev
giraffe	spirit	unrelated	1.3	train
hornet	candle	visual	1.55	train
potato	gravy	free_association	3.26086956522	test
beaver	whiskers	hypernym	1.95	train
crow	points	unrelated	1.04761904762	dev
coat	measures	unrelated	1.19047619048	train
corn	beet	distributional	4.04347826087	test
chair	sofa	free_association	4.75	train
potato	chips	hyponym	3.7	test
dagger	cleaver	functional	4.45	test
flute	change	unrelated	1.09523809524	test
flute	stool	visual	1.5652173913	test
coat	move	unrelated	1.18181818182	train
truck	airplane	functional	2.95454545455	dev
alligator	bed	unrelated	1.3	test
potato	tomato	free_association	4.1	test
scooter	motorbike	distributional	4.45	test
cat	party	unrelated	1.41666666667	test
beaver	lid	hypernym	1.28571428571	train
dagger	razor	functional	3.5	test
trumpet	xylophone	functional	4.42857142857	test
truck	avenue	functional	1.54545454545	dev
cat	panther	hyponym	3.95238095238	test
flute	blow	free_association	1.65	test
oven	trailer	visual	1.375	train
trout	kale	functional	1.71428571429	test
trumpet	none	unrelated	1.35	test
radio	hospital	unrelated	1.40909090909	train
crow	sound	functional	1.45	dev
broccoli	leeks	distributional	4.31818181818	train
truck	doodlebug	cohyponym	1.40909090909	dev
lemon	tangerine	visual	4.52380952381	train
flute	oboe	free_association	4.36363636364	test
deer	progress	unrelated	1.2	train
bag	knapsack	hyponym	4.75	test
beaver	chipmunk	visual	4.09523809524	train
library	lobby	cohyponym	3.45	test
goat	sucker	cohyponym	1.4	train
lemon	gold	cohyponym	1.19047619048	train
wasp	ant	distributional	4.35	test
trout	yacht	visual	1.45	test
freezer	rate	unrelated	1.21739130435	train
oven	jar	visual	1.6	train
mug	year	unrelated	1.15	train
truck	bin	visual	1.57142857143	dev
garlic	bread	free_association	3.0	train
goat	chump	cohyponym	1.31818181818	train
frog	squirrel	distributional	3.75	dev
dress	sweater	visual	4.15	dev
alligator	trumpet	visual	1.25	test
alligator	platypus	visual	4.04347826087	test
dress	language	unrelated	1.2380952381	dev
cat	version	unrelated	1.34782608696	test
television	station	free_association	2.82608695652	test
toaster	shack	visual	1.3	train
lemon	artefact	hypernym	1.42857142857	train
chair	chesterfield	functional	1.54545454545	train
goat	dupe	hypernym	1.42857142857	train
potato	spinach	distributional	4.18181818182	test
coat	emulsion	hyponym	1.4347826087	train
bus	ambulance	visual	4.05	train
mug	notes	unrelated	1.3	train
corn	bootleg	hyponym	1.3	test
sparrow	today	unrelated	1.13043478261	train
hornet	users	unrelated	1.19047619048	train
crow	fancy	functional	1.19047619048	dev
coat	canopy	cohyponym	1.5	train
lemon	peach	visual	4.16666666667	train
bag	basket	functional	4.65	test
garlic	tomato	distributional	4.1	train
radio	trumpet	functional	2.7619047619	train
sparrow	beetle	visual	2.86956521739	train
cranberry	memory	unrelated	1.25	test
giraffe	antelope	distributional	4.36363636364	train
frog	teams	unrelated	1.45	dev
garlic	homes	unrelated	1.2380952381	train
ferry	dust	functional	1.15	train
jacket	trousers	distributional	4.13043478261	train
radio	bit	unrelated	1.25	train
truck	automobile	functional	4.33333333333	dev
chair	stool	free_association	4.80952380952	train
trout	perch	distributional	4.36363636364	test
beaver	fur	hypernym	2.6	train
yacht	variety	unrelated	1.5	train
lemon	flavour	hypernym	2.13636363636	train
garlic	onions	visual	4.38095238095	train
hawk	dove	distributional	4.8	dev
coat	enamel	hyponym	1.40909090909	train
bag	wallet	distributional	3.6	test
toaster	estate	unrelated	1.42857142857	train
cranberry	blackcurrant	distributional	4.34782608696	test
dress	costume	hyponym	3.95833333333	dev
garlic	contribution	unrelated	1.21739130435	train
garlic	mushroom	visual	3.8	train
crow	speaker	functional	1.16666666667	dev
corn	whisky	hypernym	2.15	test
shirt	sweater	free_association	4.59090909091	test
ferry	canoe	functional	4.09090909091	train
potato	direction	unrelated	1.15	test
flute	piano	free_association	4.42857142857	test
dress	anything	unrelated	1.22727272727	dev
alligator	alley	free_association	1.19047619048	test
swan	platypus	visual	3.52173913043	train
bag	sachet	hyponym	3.75	test
bag	weekend	unrelated	1.14285714286	test
yacht	sled	visual	2.05	train
shirt	employees	unrelated	1.2	test
chair	treasurer	distributional	1.77272727273	train
jacket	deoderant	functional	1.47619047619	train
bus	mesh	cohyponym	1.14285714286	train
truck	boat	visual	3.66666666667	dev
potato	yam	visual	4.68181818182	test
beaver	lambskin	cohyponym	1.66666666667	train
alligator	words	unrelated	1.18181818182	test
dagger	see	functional	1.3	test
bus	star	cohyponym	1.04545454545	train
swan	summer	unrelated	1.15	train
truck	bike	cohyponym	4.2	dev
dress	apron	visual	3.6	dev
alligator	forces	unrelated	1.0	test
dress	gowns	distributional	4.40909090909	dev
scooter	motorbikes	distributional	4.52380952381	test
cat	bey	cohyponym	1.57142857143	test
coat	satin	distributional	1.42857142857	train
dress	wench	functional	1.6	dev
deer	car	free_association	1.66666666667	train
cypress	function	unrelated	1.15	test
hawk	pm	unrelated	1.15	dev
scooter	assessment	unrelated	1.04761904762	test
trout	catfish	functional	4.72727272727	test
falcon	chicken	visual	3.90476190476	train
corn	oak	visual	1.8	test
goat	white	free_association	1.09090909091	train
falcon	stork	visual	4.42857142857	train
swan	housefly	visual	1.75	train
trout	haddock	cohyponym	4.33333333333	test
giraffe	pony	visual	3.52173913043	train
scooter	entry	unrelated	1.21739130435	test
lizard	animal	hypernym	3.65	test
swan	crow	distributional	3.85714285714	train
trumpet	flugelhorn	cohyponym	4.45	test
giraffe	fork	visual	1.34782608696	train
goldfish	silverfish	hyponym	4.34782608696	test
coat	varnish	hyponym	1.65	train
jacket	functions	unrelated	1.15	train
television	bird	functional	1.52380952381	test
jacket	skirt	distributional	4.19047619048	train
lizard	crocodile	distributional	4.05	test
coat	cloak	functional	4.45454545455	train
flute	sled	visual	1.35	test
poplar	fuel	unrelated	1.2	test
goldfish	paper	unrelated	1.2380952381	test
ferry	narrowboat	cohyponym	4.27272727273	train
wasp	shield	visual	1.18181818182	test
crow	boast	hypernym	1.2380952381	dev
coat	round	unrelated	1.13043478261	train
garlic	flavouring	hypernym	4.35	train
lemon	amber	cohyponym	1.35	train
lemon	mint	distributional	3.75	train
bag	visit	unrelated	1.09523809524	test
beaver	otter	free_association	4.5	train
truck	motorcar	cohyponym	3.95454545455	dev
shirt	collar	free_association	3.5	test
mug	jug	distributional	4.0	train
swan	engine	unrelated	1.6	train
oven	relationship	unrelated	1.1	train
yacht	birds	unrelated	1.7	train
truck	crane	visual	3.7	dev
lizard	theory	unrelated	1.1	test
alligator	line	unrelated	1.2	test
dress	negligee	cohyponym	4.6	dev
shirt	drive	unrelated	1.4	test
dagger	asterisk	cohyponym	1.7	test
cat	dog	free_association	4.1	test
flute	stria	cohyponym	1.6	test
jacket	greatcoat	cohyponym	4.2	train
deer	elk	hyponym	4.5	train
garlic	bagpipe	visual	1.3	train
truck	road	free_association	3.4	dev
goat	fool	cohyponym	1.4	train
truck	bulldozer	functional	4.1	dev
bag	behaviour	unrelated	1.1	test
shirt	robe	visual	4.5	test
yacht	boat	hypernym	4.9	train
yacht	boats	distributional	4.7	train
coat	newmarket	hyponym	1.2	train
truck	go-cart	hypernym	4.0	dev
dress	ways	unrelated	1.1	dev
shirt	slacks	free_association	4.2	test
hawk	militarist	hypernym	1.6	dev
wasp	beetles	distributional	4.2	test
goose	sap	hypernym	1.2	test
bus	oven	visual	1.1	train
swan	partridge	distributional	3.8	train
flute	rhubarb	visual	1.6	test
lemon	truth	unrelated	1.0	train
scooter	unicycle	visual	3.7	test
lizard	frog	distributional	4.5	test
goldfish	sale	unrelated	1.3	test
jacket	lumberjack	hyponym	1.5	train
trumpet	sousaphone	cohyponym	4.5	test
chair	cllr	distributional	1.2	train
radio	applications	unrelated	1.4	train
truck	flight	functional	2.1	dev
garlic	herb	hypernym	4.4	train
cat	fop	cohyponym	1.2	test
trumpet	harpsichord	functional	4.1	test
scooter	press	unrelated	1.2	test
dagger	trade	unrelated	1.1	test
beaver	principles	unrelated	1.1	train
swan	pen	hyponym	1.5	train
broccoli	carrots	distributional	4.6	train
mug	languages	unrelated	1.0	train
swan	penguin	visual	3.6	train
television	magician	functional	1.8	test
hornet	travel	unrelated	1.3	train
library	accumulation	hypernym	1.3	test
dagger	nip	functional	1.3	test
toaster	century	unrelated	1.5	train
swan	dive	free_association	1.4	train
mug	author	unrelated	1.5	train
goat	survey	unrelated	1.1	train
giraffe	opportunities	unrelated	1.3	train
jacket	peel	hypernym	1.3	train
yacht	answer	unrelated	1.0	train
bag	bean	free_association	1.3	test
giraffe	friend	unrelated	1.3	train
television	anime	functional	2.3	test
goat	victim	hypernym	1.3	train
corn	service	unrelated	1.0	test
chair	behind	functional	1.5	train
scooter	countries	unrelated	1.0	test
shirt	turn	unrelated	1.0	test
freezer	package	unrelated	1.5	train
cat	rabbit	functional	4.3	test
ferry	isle	distributional	1.5	train
chair	position	hypernym	1.3	train
chair	businesses	unrelated	1.1	train
cranberry	strawberry	distributional	4.6	test
oven	range	cohyponym	4.4	train
radio	band	functional	3.5	train
bottle	pitcher	functional	4.3	test
truck	level	unrelated	1.3	dev
trout	film	unrelated	1.0	test
oven	bus	visual	1.1	train
oven	record	unrelated	1.4	train
hawk	eagle	free_association	4.8	dev
swan	peacock	distributional	4.7	train
wasp	caucasian	hypernym	1.0	test
jacket	yellow	free_association	1.5	train
freezer	dishwasher	distributional	4.5	train
crow	partridge	distributional	4.4	dev
lizard	toad	free_association	4.5	test
jacket	coat	hypernym	4.3	train
oven	stove	free_association	4.6	train
lemon	trial	unrelated	1.2	train
jacket	shirt	free_association	4.5	train
freezer	train	visual	1.2	train
dress	parka	visual	3.8	dev
dress	camisole	visual	4.3	dev
cat	movie	unrelated	1.3	test
coat	benefits	unrelated	1.1	train
shirt	subject	unrelated	1.2	test
cat	effort	unrelated	1.2	test
shirt	gown	cohyponym	3.8	test
truck	van	hyponym	4.6	dev
mug	jugs	distributional	4.3	train
sparrow	eagle	visual	4.3	train
jacket	path	unrelated	1.0	train
goat	muzzle	visual	1.7	train
trout	articles	unrelated	1.1	test
poplar	public	unrelated	1.4	test
coat	air	unrelated	1.3	train
shirt	project	unrelated	1.1	test
radio	rediffusion	cohyponym	2.3	train
chair	news	unrelated	1.1	train
goose	fawn	visual	4.0	test
bottle	champagne	distributional	3.7	test
broccoli	tree	free_association	1.7	train
hawk	sparrow	distributional	4.5	dev
hawk	osprey	hyponym	4.3	dev
frog	stock	unrelated	1.2	dev
swan	marsh	distributional	1.8	train
alligator	element	unrelated	1.1	test
trout	hake	cohyponym	4.4	test
truck	dumper	hyponym	3.4	dev
scooter	motorcycle	functional	4.7	test
chair	piece	unrelated	1.3	train
beaver	seal	visual	4.2	train
sieve	strainer	hypernym	4.5	dev
lizard	tax	unrelated	1.0	test
television	screen	free_association	3.5	test
toaster	minutes	unrelated	1.2	train
wasp	coast	unrelated	1.2	test
castle	croquet	functional	1.4	dev
poplar	star	unrelated	1.2	test
chair	powers	unrelated	1.0	train
shirt	t-shirt	hyponym	4.55	test
truck	amphibian	cohyponym	1.5	dev
toaster	cheerleader	cohyponym	1.5	train
coat	blouse	visual	4.5	train
alligator	crocodile	free_association	4.4	test
oven	freezer	distributional	4.3	train
swan	white	free_association	1.2	train
cat	sod	hyponym	1.0	test
lemon	award	unrelated	1.1	train
radio	piano	functional	3.4	train
jacket	permission	unrelated	1.1	train
library	bath	cohyponym	1.0	test
bag	trailer	functional	1.2	test
goat	gallon	functional	1.6	train
trumpet	security	unrelated	1.3	test
coat	dress	visual	3.9	train
hornet	buccaneer	distributional	1.4	train
swan	duck	free_association	4.8	train
swan	dove	visual	4.6	train
library	assemblage	hypernym	1.2	test
chair	couch	free_association	4.3	train
trumpet	saxophone	distributional	4.8	test
dagger	diamond	functional	1.3	test
lizard	ball	unrelated	1.4	test
bag	postbag	hyponym	3.8	test
sparrow	department	unrelated	1.2	train
bag	solutions	unrelated	1.2	test
scooter	duty	unrelated	1.0	test
bag	napkin	visual	2.2	test
beaver	chance	unrelated	1.0	train
dress	accessory	cohyponym	3.2	dev
jacket	pants	free_association	4.4	train
chair	councillor	distributional	1.2	train
radio	intercom	cohyponym	3.9	train
garlic	leek	cohyponym	4.4	train
sieve	decisions	unrelated	1.1	dev
truck	fact	unrelated	1.2	dev
corn	details	unrelated	1.3	test
castle	discussion	unrelated	1.3	dev
flute	ostrich	visual	1.3	test
hawk	eye	free_association	1.5	dev
mug	bagful	cohyponym	1.5	train
poplar	conditions	unrelated	1.0	test
jacket	circumstances	unrelated	1.0	train
bag	mamma	hypernym	1.1	test
corn	authority	unrelated	1.1	test
dress	vest	functional	4.4	dev
shirt	awareness	unrelated	1.3	test
mug	heart	unrelated	1.0	train
crow	jay	cohyponym	4.3	dev
castle	barony	distributional	1.6	dev
coat	rendering	hyponym	1.1	train
ferry	awards	unrelated	1.5	train
mug	game	unrelated	1.4	train
freezer	programs	unrelated	1.0	train
coat	otter	visual	1.0	train
castle	state	unrelated	1.3	dev
goose	group	unrelated	1.3	test
jacket	sack	hyponym	1.9	train
hawk	context	unrelated	1.3	dev
mug	design	unrelated	1.6	train
trumpet	horn	free_association	4.8	test
deer	economy	unrelated	1.4	train
bag	forklift	functional	1.2	test
dagger	edge	functional	1.9	test
garlic	cranberry	visual	4.3	train
truck	vehicles	distributional	4.7	dev
broccoli	chandelier	visual	1.1	train
sparrow	wren	cohyponym	4.3	train
sparrow	period	unrelated	1.2	train
castle	home	free_association	4.2	dev
coat	camisole	visual	4.1	train
corn	oat	cohyponym	4.1	test
dress	turnout	hyponym	1.3	dev
